fileset module initialized with random seed: 305419895
path: k:\dy10000001b\b100000 , size:  812 , seed:  514847632
path: k:\dy10000002c\c100000 , size:  125 , seed:  655197733
path: k:\dy10000001b\b100001 , size:  104 , seed:  3038094540
path: k:\dy10000002c\c100001 , size:  165 , seed:  4170032001
path: k:\dy10000001b\b100002 , size:  762 , seed:  1888150238
path: k:\dy10000002c\c100002 , size:  156 , seed:  139324493
path: k:\dy10000001b\b100003 , size:  30 , seed:  1417635569
path: k:\dy10000002c\c100003 , size:  697 , seed:  668259189
path: k:\dy10000001b\b100004 , size:  773 , seed:  4022329895
path: k:\dy10000002c\c100004 , size:  600 , seed:  3967290281
path: k:\dy10000001b\b100005 , size:  885 , seed:  3389852066
path: k:\dy10000002c\c100005 , size:  534 , seed:  1992346753
path: k:\dy10000001b\b100006 , size:  649 , seed:  110207143
path: k:\dy10000002c\c100006 , size:  562 , seed:  529292277
path: k:\dy10000001b\b100007 , size:  191 , seed:  3507216867
path: k:\dy10000002c\c100007 , size:  92 , seed:  3682549763
path: k:\dy10000001b\b100008 , size:  878 , seed:  2771277334
path: k:\dy10000002c\c100008 , size:  751 , seed:  469144220
path: k:\dy10000001b\b100009 , size:  944 , seed:  3136492053
path: k:\dy10000002c\c100009 , size:  514 , seed:  169790039
path: k:\dy10000001b\b100010 , size:  312 , seed:  2670675460
path: k:\dy10000002c\c100010 , size:  827 , seed:  3070235974
path: k:\dy10000001b\b100011 , size:  841 , seed:  1414150774
path: k:\dy10000002c\c100011 , size:  249 , seed:  2741869518
path: k:\dy10000001b\b100012 , size:  293 , seed:  2243269066
path: k:\dy10000002c\c100012 , size:  495 , seed:  3193572199
path: k:\dy10000001b\b100013 , size:  553 , seed:  4172723967
path: k:\dy10000002c\c100013 , size:  370 , seed:  1156356960
path: k:\dy10000001b\b100014 , size:  526 , seed:  1253572600
path: k:\dy10000002c\c100014 , size:  6 , seed:  1586119169
path: k:\dy10000001b\b100015 , size:  267 , seed:  1661657014
path: k:\dy10000002c\c100015 , size:  534 , seed:  1244280291
path: k:\dy10000001b\b100016 , size:  367 , seed:  4007991862
path: k:\dy10000002c\c100016 , size:  177 , seed:  2348574931
path: k:\dy10000001b\b100017 , size:  633 , seed:  2893714288
path: k:\dy10000002c\c100017 , size:  210 , seed:  1447829458
path: k:\dy10000001b\b100018 , size:  790 , seed:  569149571
path: k:\dy10000002c\c100018 , size:  362 , seed:  445120628
path: k:\dy10000001b\b100019 , size:  802 , seed:  3458165270
path: k:\dy10000002c\c100019 , size:  337 , seed:  1577194753
path: k:\dy10000001b\b100020 , size:  412 , seed:  2429384730
path: k:\dy10000002c\c100020 , size:  41 , seed:  2001279222
path: k:\dy10000001b\b100021 , size:  984 , seed:  958015138
path: k:\dy10000002c\c100021 , size:  365 , seed:  2186839784
path: k:\dy10000001b\b100022 , size:  830 , seed:  3166492993
path: k:\dy10000002c\c100022 , size:  612 , seed:  3881734025
